dateid,CalendarDate,CalendarQuarter,YearMonth,SubsidiaryCode,SubsidiaryName,TPId,TPNamee,DeviceName,PFAMName,ProductPartNbr, SellThruQTY , SellinQTY 
9/12/2018,9/12/2018,2018-Q3,201809,10,United States,27898,Retailer-1,Device-2,Device-1 128GB i5 8GB M1796,KJRXXXX, 45 , -   
12/16/2017,12/16/2017,2017-Q4,201712,10,United States,27898,Retailer-1,Device-1,Device-1 128GB i5 4GB,*!R5XXXX, 3 , -   
5/18/2018,5/18/2018,2018-Q2,201805,10,United States,27898,Retailer-1,Device-3,Device-1 i5/8/128 DB,-0MUXXXX, 62 , -   
12/15/2017,12/15/2017,2017-Q4,201712,10,United States,27898,Retailer-1,Device-2,Device-1 128GB M4GB BlackTCBndl M1796,-0GGXXXX, 107 , 199 
10/27/2017,10/27/2017,2017-Q4,201710,10,United States,27898,Retailer-1,Device-2,Device-1 256GB i5 8GB M1796,FJXXXXX, 27 , 391 
11/29/2017,11/29/2017,2017-Q4,201711,10,United States,27898,Retailer-1,Device-4,Device-1 i7/16/256 GPU,-0NRXXXX, 5 , 32 
12/15/2019,12/15/2019,2019-Q4,201912,10,United States,27898,Retailer-1,Device-3,Device-1 i5-8350/8/256,PGUXXXX, 37 , -   
6/21/2017,6/21/2017,2017-Q2,201706,10,United States,27898,Retailer-1,Device-2,Device-1 128GB M 4GB M1796,FJRXXXX, 17 , -   
8/4/2019,8/4/2019,2019-Q3,201908,10,United States,27898,Retailer-1,Device-3,Device-1 i7/16/512 GPU,-0NLXXXX, 12 , -   
5/13/2018,5/13/2018,2018-Q2,201805,10,United States,27898,Retailer-1,Device-2,Device-1 256GB i7 8G M1796,FJZXXXX, 16 , -   
2/1/2018,2/1/2018,2018-Q1,201802,10,United States,27898,Retailer-1,Device-2,Device-1 512GB i7 16GB M1796,FK-0XXXX, 1 , -   
2/18/2019,2/18/2019,2019-Q1,201902,10,United States,27898,Retailer-1,Device-4,Device-1 i7/16/256 GPU,-0NRXXXX, 3 , 2 
9/18/2018,9/18/2018,2018-Q3,201809,10,United States,27898,Retailer-1,Device-2,Device-1 256GB i5 8GB M1796,FJXXXXX, 4 , -   
12/14/2018,12/14/2018,2018-Q4,201812,10,United States,27898,Retailer-1,Device-3,Device-1 i5/8/128 DB,-0MUXXXX, 13 , -   
12/10/2018,12/10/2018,2018-Q4,201812,10,United States,27898,Retailer-1,Device-4,Device-1 i7/16/256 GPU,-0NRXXXX, 9 , 42 
8/26/2019,8/26/2019,2019-Q3,201908,10,United States,27898,Retailer-1,Device-3,Device-1 i5/8/128 DB,-0MUXXXX, 25 , 21 
12/18/2019,12/18/2019,2019-Q4,201912,10,United States,27898,Retailer-1,Device-3,Device-1 i5-8350/8/256,PGUXXXX, 53 , -   
4/8/2018,4/8/2018,2018-Q2,201804,10,United States,27898,Retailer-1,Device-4,Device-1 i7/16/256 GPU,-0NRXXXX, 9 , -   
11/5/2019,11/5/2019,2019-Q4,201911,10,United States,27898,Retailer-1,Device-3,Device-1 i5/8/128 DB,-0MUXXXX, 17 , 9 
7/12/2019,7/12/2019,2019-Q3,201907,10,United States,27898,Retailer-1,Device-3,Device-1 i7/8/256 GPU,-0N4XXXX, 11 , 21 
3/19/2018,3/19/2018,2018-Q1,201803,10,United States,27898,Retailer-1,Device-2,Device-1 256GB i7 8G M1796,FJZXXXX, 10 , -   
8/3/2018,8/3/2018,2018-Q3,201808,10,United States,27898,Retailer-1,Device-3,Device-1 i5/8/128 DB,-0MUXXXX, 10 , 5 
5/1/2020,5/1/2020,2020-Q2,202005,10,United States,27898,Retailer-1,Device-3,Device-1 i5/8/128 DB,-0MUXXXX, 13 , -   
1/5/2018,1/5/2018,2018-Q1,201801,10,United States,27898,Retailer-1,Device-1,Device-1 128GB i5 4GB,*!R5XXXX, 0 , -   
2/14/2018,2/14/2018,2018-Q1,201802,10,United States,27898,Retailer-1,Device-4,Device-1 i7/16/1TB GPU,FV-0XXXX, 5 , -   
7/3/2018,7/3/2018,2018-Q3,201807,10,United States,27898,Retailer-1,Device-2,Device-1 128GB i5 8GB M1796,KJRXXXX, 12 , -   
1/16/2017,1/16/2017,2017-Q1,201701,10,United States,27898,Retailer-1,Device-1,Device-1 128GB M 4GB,SU3XXXX, 1 , -   
10/11/2016,10/11/2016,2016-Q4,201610,10,United States,27898,Retailer-1,Device-1,Device-1 256GB i7 16GB,T-02XXXX, 22 , 23 
12/31/2018,12/31/2018,2018-Q4,201812,10,United States,27898,Retailer-1,Device-3,Device-1 i7/8/256 GPU,-0N4XXXX, 19 , -   
7/13/2018,7/13/2018,2018-Q3,201807,10,United States,27898,Retailer-1,Device-3,Device-1 i7/8/256 GPU,-0N4XXXX, 19 , 134 
9/12/2017,9/12/2017,2017-Q3,201709,10,United States,27898,Retailer-1,Device-2,Device-1 512GB i7 16GB M1796,FK-0XXXX, 6 , 34 
3/6/2018,3/6/2018,2018-Q1,201803,10,United States,27898,Retailer-1,Device-4,Device-1 i7/16/512 GPU,FUXXXXX, 0 , 0 
2/24/2020,2/24/2020,2020-Q1,202002,10,United States,27898,Retailer-1,Device-4,Device-1 i7/16/512 GPU,FUXXXXX, 2 , -   
12/9/2019,12/9/2019,2019-Q4,201912,10,United States,27898,Retailer-1,Device-3,Device-1 i7/16/512 GPU,-0NLXXXX, 7 , -   
9/7/2018,9/7/2018,2018-Q3,201809,10,United States,27898,Retailer-1,Device-4,Device-1 i7/16/512 GPU,FUXXXXX, 1 , -   
10/28/2019,10/28/2019,2019-Q4,201910,10,United States,27898,Retailer-1,Device-4,Device-1 i5/16/256,QKKXXXX, 4 , -   
12/30/2019,12/30/2019,2019-Q4,201912,10,United States,27898,Retailer-1,Device-4,Device-1 i5/16/256,QKKXXXX, 2 , -   
7/12/2017,7/12/2017,2017-Q3,201707,10,United States,27898,Retailer-1,Device-1,Device-1 512GB i7 16GB,T-04XXXX, 0 , -   
4/26/2020,4/26/2020,2020-Q2,202004,10,United States,27898,Retailer-1,Device-3,Device-1 i5-8350/8/256,PGUXXXX, 28 , -   
2/18/2018,2/18/2018,2018-Q1,201802,10,United States,27898,Retailer-1,Device-2,Device-1 128GB i5 4GB BlackTCBndl M1796,-0G-0XXXX, 0 , -   
11/28/2018,11/28/2018,2018-Q4,201811,10,United States,27898,Retailer-1,Device-2,Device-1 LTE 256GB i5 8GB M1807,GWMXXXX, 8 , -   
10/16/2018,10/16/2018,2018-Q4,201810,10,United States,27898,Retailer-1,Device-2,Device-1 256GB i7 8G M1796,FJZXXXX, 1 , -   
12/11/2019,12/11/2019,2019-Q4,201912,10,United States,27898,Retailer-1,Device-4,Device-1 i7/16/512 GPU,FUXXXXX, 9 , 17 
9/21/2018,9/21/2018,2018-Q3,201809,10,United States,27898,Retailer-1,Device-2,Device-1 LTE 256GB i5 8GB M1807,GWMXXXX, 2 , -   
1/24/2019,1/24/2019,2019-Q1,201901,10,United States,27898,Retailer-1,Device-3,Device-1 i7/16/1TB GPU,-0NNXXXX, 2 , -   
12/26/2019,12/26/2019,2019-Q4,201912,10,United States,27898,Retailer-1,Device-4,Device-1 i5/16/256,QKKXXXX, 0 , -   
12/27/2017,12/27/2017,2017-Q4,201712,10,United States,27898,Retailer-1,Device-4,Device-1 i7/16/1TB GPU,FV-0XXXX, 1 , -   
4/3/2018,4/3/2018,2018-Q2,201804,10,United States,27898,Retailer-1,Device-3,Device-1 i7/16/1TB GPU,-0NNXXXX, 0 , -   
12/30/2016,12/30/2016,2016-Q4,201612,10,United States,27898,Retailer-1,Device-1,Device-1 1TB i7 16GB,SU4XXXX, 3 , -   
10/4/2018,10/4/2018,2018-Q4,201810,10,United States,27898,Retailer-1,Device-4,Device-1 i7/16/1TB GPU,FV-0XXXX, 2 , -   
9/21/2017,9/21/2017,2017-Q3,201709,10,United States,27898,Retailer-1,Device-2,Device-1 1TB i7 16GB M1796,FKKXXXX, 4 , -   
6/8/2018,6/8/2018,2018-Q2,201806,10,United States,27898,Retailer-1,Device-2,Device-1 128GB i5 4GB BlackTCBndl M1796,-0G-0XXXX, 1 , -   
10/1/2019,10/1/2019,2019-Q4,201910,10,United States,27898,Retailer-1,Device-3,Device-1 i7/8/256 GPU,-0N4XXXX, 9 , -   
7/17/2019,7/17/2019,2019-Q3,201907,10,United States,27898,Retailer-1,Device-3,Device-1 i5/8/256,-0MWXXXX, 0 , -   
10/27/2019,10/27/2019,2019-Q4,201910,10,United States,27898,Retailer-1,Device-4,Device-1 i7/16/512 GPU,FUXXXXX, 1 , -   
11/20/2017,11/20/2017,2017-Q4,201711,75,Canada,5924114,Retailer-2,Device-2,Device-1 128GB M4GB BlackTCBndl M1796,-0GGXXXX, 37 , -   
8/8/2019,8/8/2019,2019-Q3,201908,75,Canada,5924114,Retailer-2,Device-4,Device-1 i7/16/512 GPU,FUX-00002, 2 , -   
3/20/2018,3/20/2018,2018-Q1,201803,75,Canada,5924114,Retailer-2,Device-3,Device-1 i5/8/256,-0MWXXXX, 0 , -   
11/10/2018,11/10/2018,2018-Q4,201811,10,United States,27898,Retailer-1,Device-3,Device-1 i7/16/1TB GPU,-0NNXXXX, 1 , 18 
7/16/2018,7/16/2018,2018-Q3,201807,10,United States,27898,Retailer-1,Device-3,Device-1 i7/16/1TB GPU,-0NNXXXX, 0 , -   
4/19/2020,4/19/2020,2020-Q2,202004,10,United States,27898,Retailer-1,Device-4,Device-1 i7/16/256 GPU,-0NRXXXX, 3 , -   
10/4/2019,10/4/2019,2019-Q4,201910,10,United States,27898,Retailer-1,Device-3,Device-1 i7/16/1TB GPU,-0NNXXXX, 1 , 28 
3/4/2018,3/4/2018,2018-Q1,201803,10,United States,27898,Retailer-1,Device-2,Device-1 128GB M 4GB M1796,FJRXXXX, 1 , -   
4/16/2018,4/16/2018,2018-Q2,201804,10,United States,27898,Retailer-1,Device-2,Device-1 128GB M 4GB M1796,FJRXXXX, 0 , -   
12/3/2019,12/3/2019,2019-Q4,201912,10,United States,27898,Retailer-1,Device-2,Device-1 LTE 256GB i5 8GB M1807,GWMXXXX, 1 , -   
11/5/2019,11/5/2019,2019-Q4,201911,10,United States,27898,Retailer-1,Device-2,Device-1 LTE 256GB i5 8GB M1807,GWMXXXX, 2 , -   
9/22/2018,9/22/2018,2018-Q3,201809,10,United States,27898,Retailer-1,Device-4,Device-1 i7/16/1TB GPU,FV-0XXXX, -   , -   
3/12/2018,3/12/2018,2018-Q1,201803,10,United States,27898,Retailer-1,Device-2,Device-1 1TB i7 16GB M1796,FKKXXXX, 1 , -   
9/22/2018,9/22/2018,2018-Q3,201809,10,United States,27898,Retailer-1,Device-2,Device-1 1TB i7 16GB M1796,FKKXXXX, 0 , -   
2/18/2019,2/18/2019,2019-Q1,201902,10,United States,27898,Retailer-1,Device-3,Device-1 i7/16/1TB GPU,-0NNXXXX, 1 , -   
1/21/2020,1/21/2020,2020-Q1,202001,10,United States,27898,Retailer-1,Device-3,Device-1 i7/16/1TB GPU,-0NNXXXX, 0 , -   
6/21/2019,6/21/2019,2019-Q2,201906,10,United States,27898,Retailer-1,Device-2,Device-1 LTE 256GB i5 8GB M1807,GWMXXXX, 0 , -   
6/9/2017,6/9/2017,2017-Q2,201706,10,United States,27898,Retailer-1,Device-1,Device-1 1TB i7 16GB,SU4XXXX, 1 , -   
3/16/2016,3/16/2016,2016-Q1,201603,10,United States,27898,Retailer-1,Device-1,Device-1 256GB i7 8GB,*!Q9XXXX, -   , 36 
12/4/2017,12/4/2017,2017-Q4,201712,75,Canada,5976026,Retailer-4,Device-3,Device-1 i7/16/512 GPU,-0NLXXXX, 3 , -   
7/28/2016,7/28/2016,2016-Q3,201607,75,Canada,5976026,Retailer-4,Device-1,Device-1 128GB i5 4GB,*!R5XXXX, 5 , 46 
2/20/2017,2/20/2017,2017-Q1,201702,75,Canada,5976026,Retailer-4,Device-1,Device-1 256GB i7 8GB,*!Q9XXXX, 1 , 2 
5/6/2019,5/6/2019,2019-Q2,201905,75,Canada,5976026,Retailer-4,Device-3,Device-1 i5-8350/8/256,PGUXXXX, 3 , -   
9/7/2017,9/7/2017,2017-Q3,201709,75,Canada,5976026,Retailer-4,Device-2,Device-1 256GB i5 8GB M1796,FJXXXXX, 9 , -   
1/31/2018,1/31/2018,2018-Q1,201801,75,Canada,5976026,Retailer-4,Device-2,Device-1 128GB i5 4GB M1796,FJTXXXX, 4 , -   
9/17/2016,9/17/2016,2016-Q3,201609,75,Canada,5976026,Retailer-4,Device-1,Device-1 128GB M 4GB,SU3XXXX, 16 , -   
1/20/2017,1/20/2017,2017-Q1,201701,75,Canada,5976026,Retailer-4,Device-1,Device-1 128GB M 4GB,SU3XXXX, 6 , -   
11/2/2019,11/2/2019,2019-Q4,201911,75,Canada,5976026,Retailer-4,Device-4,Device-1 i7/16/256 GPU,-0NRXXXX, 1 , -   
1/15/2020,1/15/2020,2020-Q1,202001,75,Canada,5976026,Retailer-4,Device-3,Device-1 i5-8350/8/256,PGU-00002, 0 , -   
12/2/2019,12/2/2019,2019-Q4,201912,75,Canada,5976026,Retailer-4,Device-3,Device-1 i7/16/1TB GPU,-0NNXXXX, 1 , -   
4/30/2018,4/30/2018,2018-Q2,201804,75,Canada,5976026,Retailer-4,Device-3,Device-1 i5/8/256,-0MWXXXX, 4 , -   
9/8/2018,9/8/2018,2018-Q3,201809,75,Canada,5976026,Retailer-4,Device-3,Device-1 i5/8/256,-0MWXXXX, 4 , 2 
1/16/2018,1/16/2018,2018-Q1,201801,75,Canada,5976026,Retailer-4,Device-2,Device-1 128GB M4GB BlackTCBndl M1796,-0GGXXXX, 12 , -   
12/30/2016,12/30/2016,2016-Q4,201612,75,Canada,5976026,Retailer-4,Device-1,Device-1 256GB i7 16GB,T-02XXXX, 6 , -   
8/6/2018,8/6/2018,2018-Q3,201808,75,Canada,5976026,Retailer-4,Device-2,Device-1 256GB i7 8G M1796,FJZXXXX, 2 , -   
8/21/2019,8/21/2019,2019-Q3,201908,75,Canada,5976026,Retailer-4,Device-4,Device-1 i5/16/256,QKKXXXX, 1 , 4 
12/3/2017,12/3/2017,2017-Q4,201712,75,Canada,5976026,Retailer-4,Device-3,Device-1 i5/8/256,-0MWXXXX, 6 , -   
6/22/2017,6/22/2017,2017-Q2,201706,75,Canada,5976026,Retailer-4,Device-2,Device-1 128GB M 4GB M1796,FJRXXXX, 0 , -   
11/3/2017,11/3/2017,2017-Q4,201711,75,Canada,5976026,Retailer-4,Device-2,Device-1 256GB i5 8GB M1796,FJXXXXX, 8 , -   
8/14/2018,8/14/2018,2018-Q3,201808,75,Canada,5976026,Retailer-4,Device-2,Device-1 128GB M4GB BlackTCBndl M1796,-0GGXXXX, 4 , -   
7/21/2016,7/21/2016,2016-Q3,201607,75,Canada,5976026,Retailer-4,Device-1,Device-1 256GB i7 16GB,T-02XXXX, 1 , -   
2/9/2018,2/9/2018,2018-Q1,201802,75,Canada,5976026,Retailer-4,Device-3,Device-1 i5/8/256,-0MWXXXX, 0 , -   
3/31/2018,3/31/2018,2018-Q1,201803,75,Canada,5976026,Retailer-4,Device-1,Device-1 128GBi5 4GB DevNoPen Cover Bndl,DQQXXXX, 1 , -   
5/17/2019,5/17/2019,2019-Q2,201905,75,Canada,5976026,Retailer-4,Device-3,Device-1 i7/8/256 GPU,-0N4XXXX, 0 , -   
5/12/2017,5/12/2017,2017-Q2,201705,75,Canada,5976026,Retailer-4,Device-1,Device-1 256GB i7 16GB,T-02XXXX, 3 , -   
4/17/2017,4/17/2017,2017-Q2,201704,75,Canada,5976026,Retailer-4,Device-1,Device-1 128GB M 4GB No Pen Sustain,FMLXXXX, 4 , -   
7/25/2018,7/25/2018,2018-Q3,201807,75,Canada,5976026,Retailer-4,Device-2,Device-1 128GB M 4GB M1796,FJRXXXX, 5 , -   
8/29/2018,8/29/2018,2018-Q3,201808,75,Canada,5976026,Retailer-4,Device-4,Device-1 i7/16/1TB GPU,FV-0XXXX, -   , 1 
7/30/2019,7/30/2019,2019-Q3,201907,75,Canada,5976026,Retailer-4,Device-3,Device-1 i7/8/256 GPU,-0N4XXXX, -   , 5 
3/13/2018,3/13/2018,2018-Q1,201803,75,Canada,5976026,Retailer-4,Device-3,Device-1 i7/8/256 GPU,-0N4XXXX, -   , 8 
3/30/2016,3/30/2016,2016-Q1,201603,75,Canada,5976026,Retailer-4,Device-1,Device-1 128GB M 4GB,SU3XXXX, -   , 37 
5/10/2018,5/10/2018,2018-Q2,201805,75,Canada,5976026,Retailer-4,Device-3,Device-1 i7/16/1TB GPU,-0NN-00002, 1 , -   
2/27/2020,2/27/2020,2020-Q1,202002,75,Canada,5976026,Retailer-4,Device-3,Device-1 i5-8350/8/256,PGUXXXX, 1 , -   
5/24/2018,5/24/2018,2018-Q2,201805,75,Canada,5976026,Retailer-4,Device-4,Device-1 i7/16/512 GPU,FUXXXXX, 0 , -   
8/16/2019,8/16/2019,2019-Q3,201908,75,Canada,5976026,Retailer-4,Device-4,Device-1 i7/16/512 GPU,FUXXXXX, 0 , -   
8/6/2018,8/6/2018,2018-Q3,201808,75,Canada,5976026,Retailer-4,Device-4,Device-1 i7/16/512 GPU,FUX-00002, 1 , -   
8/5/2018,8/5/2018,2018-Q3,201808,75,Canada,5976026,Retailer-4,Device-2,Device-1 128GB i5 8GB M1796,KJRXXXX, 0 , -   
3/21/2018,3/21/2018,2018-Q1,201803,75,Canada,5976026,Retailer-4,Device-2,Device-1 128GB M4GB BlackTCBndl M1796,-0GG-00018, 1 , -   
1/6/2018,1/6/2018,2018-Q1,201801,75,Canada,5976026,Retailer-4,Device-3,Device-1 i7/16/1TB GPU,-0NNXXXX, 0 , -   
10/4/2018,10/4/2018,2018-Q4,201810,75,Canada,5976026,Retailer-4,Device-4,Device-1 i7/16/512 GPU,FUXXXXX, 0 , -   
7/6/2018,7/6/2018,2018-Q3,201807,75,Canada,5976026,Retailer-4,Device-2,Device-1 256GB i7 8G M1796,FJZXXXX, 1 , -   
3/1/2018,3/1/2018,2018-Q1,201803,75,Canada,5976026,Retailer-4,Device-2,Device-1 512GB i7 16GB M1796,FK-0XXXX, 0 , -   
3/6/2019,3/6/2019,2019-Q1,201903,10,United States,47922,Retailer-3,Device-2,Device-1 128GB M 4GB Comm M1796,FJSXXXX, 1 , -   
3/15/2019,3/15/2019,2019-Q1,201903,10,United States,47922,Retailer-3,Device-2,Device-1 LTE 256GB i5 8GB Comm M1807,GWPXXXX, 1 , -   
12/21/2018,12/21/2018,2018-Q4,201812,10,United States,47922,Retailer-3,Device-3,Device-1 i7/16/512 GPU Comm,-0NMXXXX, 0 , -   
11/29/2019,11/29/2019,2019-Q4,201911,10,United States,47922,Retailer-3,Device-3,Device-1 i7/16/512 GPU Comm,-0NMXXXX, 1 , -   
9/26/2018,9/26/2018,2018-Q3,201809,10,United States,47922,Retailer-3,Device-2,Device-1 128GB i5 8GB Comm M1796,KJSXXXX, 0 , -   
8/20/2018,8/20/2018,2018-Q3,201808,10,United States,47922,Retailer-3,Device-2,Device-1 256GB i5 8GB Comm M1796,FJYXXXX, 1 , -   
6/20/2018,6/20/2018,2018-Q2,201806,10,United States,47922,Retailer-3,Device-2,Device-1 256GB i5 8GB Comm M1796,FJYXXXX, 2 , -   
4/30/2019,4/30/2019,2019-Q2,201904,10,United States,47922,Retailer-3,Device-2,Device-1 1TB i7 16GB Comm TAA M1796,-0EXXXXX, 1 , -   
10/25/2019,10/25/2019,2019-Q4,201910,10,United States,47922,Retailer-3,Device-4,Device-1 i7/16/256 GPU Comm,-0NSXXXX, 3 , -   
10/31/2019,10/31/2019,2019-Q4,201910,10,United States,47922,Retailer-3,Device-4,Device-1 i7/16/256 GPU Comm,-0NSXXXX, 0 , -   
10/19/2017,10/19/2017,2017-Q4,201710,10,United States,47922,Retailer-3,Device-1,Device-1 128GB i5 4GB Commer,9PYXXXX, 2 , -   
9/20/2017,9/20/2017,2017-Q3,201709,10,United States,47922,Retailer-3,Device-2,Device-1 256GB i7 8G Comm M1796,FKGXXXX, 1 , -   
2/15/2017,2/15/2017,2017-Q1,201702,10,United States,47922,Retailer-3,Device-1,Device-1 128GB M 4GB NoPenCommer Sustain,FJQXXXX, 0 , -   
11/21/2016,11/21/2016,2016-Q4,201611,10,United States,47922,Retailer-3,Device-1,Device-1 1TB i7 16GB Commer,SV4XXXX, 0 , -   
6/2/2017,6/2/2017,2017-Q2,201706,10,United States,47922,Retailer-3,Device-1,Device-1 256GB i5 16GB Commer,TU4XXXX, 1 , -   
5/14/2016,5/14/2016,2016-Q2,201605,10,United States,47922,Retailer-3,Device-1,Device-1 256GB i7 16GB,T-02XXXX, -   , 6 
8/26/2018,8/26/2018,2018-Q3,201808,10,United States,27898,Retailer-1,Device-2,Device-1 128GB i5 8GB M1796,KJRXXXX, 13 , -   
1/8/2018,1/8/2018,2018-Q1,201801,10,United States,27898,Retailer-1,Device-3,Device-1 i5/8/256,-0MWXXXX, 33 , 22 
